Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,IMDB Rating Scaled
Deep Water,2006,96,97.735,Louise Osmond,Tilda Swinton,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the...",736762.0,Drama,54.0,53.0,115.0,34865.0,540.0
Million Dollar Baby,2004,90,101.375,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie","Frankie Dunn (Clint Eastwood) is a veteran Los Angeles boxing trainer who keeps almost everyone at arm's length, except his...",231928227.0,Drama,81.0,86.0,132.0,675372.0,810.0
Breaking Away,1979,95,98.045,Peter Yates,"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley","Dave (Dennis Christopher) and his working-class friends Cyril (Daniel Stern), Moocher (Jackie Earle Haley) and Mike (Dennis Quaid) spend their...",20000000.0,Comedy,77.0,91.0,101.0,23441.0,770.0
Rush,2013,89,97.945,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara","In the mid-1970s, charismatic English playboy James Hunt (Chris Hemsworth) and Austrian perfectionist Niki Lauda (Daniel Brühl) share an intense...",98230839.0,Drama,81.0,74.0,123.0,468608.0,810.0
The Fighter,2010,91,100.364,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","For Micky Ward (Mark Wahlberg), boxing is a family affair. His tough-as-nails mother is his manager. His half-brother, Dicky (Christian...",129262388.0,Drama,78.0,79.0,116.0,360109.0,780.0
Foxcatcher,2014,87,97.359,Bennett Miller,"Steve Carell, Channing Tatum, Mark Ruffalo, Vanessa Redgrave",When wealthy John du Pont (Steve Carell) invites Olympic wrestler Mark Schultz (Channing Tatum) to move to his estate and...,19303058.0,Drama,70.0,81.0,134.0,141521.0,700.0
Creed II,2018,83,102.083,Steven Caple Jr.,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad","In 1985, Russian boxer Ivan Drago killed former U.S. champion Apollo Creed in a tragic match that stunned the world....",213591522.0,Drama,71.0,66.0,130.0,120979.0,710.0
The Bad News Bears,1976,97,98.604,Michael Ritchie,"Walter Matthau, Tatum O'Neal, Vic Morrow, Joyce Van Patten","Hard-drinking, ex-minor-league hopeful Morris Buttermaker (Walter Matthau) grumpily agrees to coach a Little League team at the behest of lawyer-councilman...",42349782.0,Comedy,73.0,84.0,102.0,22577.0,730.0
The Hustler,1961,96,99.578,Robert Rossen,"Paul Newman, Jackie Gleason, George C. Scott, Piper Laurie",Story Fast Eddie Felsen (Paul Newman) and his adventures in the world of professional pool. Fast Eddie is a young...,7600000.0,Drama,80.0,90.0,134.0,81084.0,800.0
Rocky,1976,91,97.539,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young","Rocky Balboa (Sylvester Stallone), a small-time boxer from working-class Philadelphia, is arbitrarily chosen to take on the reigning world heavyweight...",225000000.0,Drama,81.0,70.0,120.0,560026.0,810.0
