Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
1993,71112677.0,81.0,72.0,101.0,Capolavoro Universale,True,False,False,False,False
1987,31046322.0,80.0,77.0,98.0,Capolavoro Universale,False,False,False,False,False
1998,46189568.0,81.0,71.0,117.0,Crowd Pleaser,True,False,False,False,False
1934,2500000.0,81.0,87.0,105.0,Capolavoro Universale,True,False,False,False,False
1959,95697808.0,82.0,98.0,121.0,Capolavoro Universale,True,False,False,False,False
1975,5028948.0,82.0,91.0,91.0,Capolavoro Universale,True,False,False,False,False
1980,83453539.0,77.0,78.0,88.0,Capolavoro Universale,True,False,False,False,False
1931,60758.0,85.0,99.0,87.0,Capolavoro Universale,True,False,False,False,False
1921,139877913.0,63.0,43.0,105.0,Gemma della Critica,True,False,False,False,False
1933,550517357.0,72.0,81.0,187.0,Capolavoro Universale,False,True,False,False,False
1938,69679794.5,79.0,97.0,102.0,Capolavoro Universale,False,False,False,False,False
1939,34949482.0,81.0,92.0,102.0,Capolavoro Universale,False,False,False,False,False
1939,69679794.5,72.0,70.0,117.0,Capolavoro Universale,False,False,False,False,False
1948,69679794.5,82.0,98.0,126.0,Capolavoro Universale,False,True,False,False,False
1951,10751747.0,77.0,91.0,105.0,Capolavoro Universale,False,False,False,False,False
1954,28200000.0,72.0,83.0,127.0,Capolavoro Universale,False,True,False,False,False
1956,10412401.0,73.0,70.0,116.0,Crowd Pleaser,False,True,False,False,False
1958,69679794.5,81.0,89.0,126.0,Capolavoro Universale,False,False,False,False,False
1959,243180937.0,58.0,57.0,93.0,Flop,False,False,False,True,False
1962,69995047.0,83.0,100.0,218.0,Capolavoro Universale,False,True,False,False,False
1963,11972798.0,82.0,86.0,172.0,Capolavoro Universale,False,True,False,False,False
1975,69679794.5,78.0,91.0,129.0,Capolavoro Universale,False,False,False,False,False
1984,333080271.0,75.0,57.0,118.0,Crowd Pleaser,False,False,False,False,False
1984,115078260.0,69.0,63.0,106.0,Flop,True,False,False,False,False
1985,64140041.0,77.0,62.0,114.0,Crowd Pleaser,True,False,False,False,False
1985,10618813.0,67.0,42.0,113.0,Flop,False,False,True,False,False
1986,18564613.0,69.0,64.0,90.0,Flop,True,False,False,False,False
1986,13047837.0,73.0,50.0,101.0,Crowd Pleaser,False,False,False,False,False
